id,value,Intensity s1;Intensity s2;Intensity s3
cellular organisms,122.67,117.97;119.39;115.5
cellular organisms@Bacteria@Actinobacteria@Actinobacteria@Actinomycetales@Actinomycetaceae,71.17,0;0;71.17
cellular organisms@Bacteria,122.65,117.97;119.38;115.43
cellular organisms@Eukaryota@Metazoa@Arthropoda@Insecta@Lepidoptera@Geometridae@Operophtera,71.66,0;0;71.66
cellular organisms@Eukaryota@Metazoa@Arthropoda@Insecta@Lepidoptera@Geometridae@Operophtera@Operophtera brumata,71.66,0;0;71.66
cellular organisms@Bacteria@Proteobacteria@Gammaproteobacteria@Enterobacterales@Erwiniaceae@Buchnera@Buchnera aphidicola,77.65,0;77.65;0
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Oribacterium@Oribacterium sinus,67.4,67.4;0;0
cellular organisms@Eukaryota@Metazoa@Platyhelminthes,96.74,0;85.22;96.42
cellular organisms@Bacteria@Actinobacteria@Actinobacteria@Streptomycetales@Streptomycetaceae,85.76,80.83;82.36;79.23
cellular organisms@Bacteria@Proteobacteria@Deltaproteobacteria@Desulfuromonadales@Desulfuromonadaceae@Desulfuromonas@Desulfuromonas soudanensis,77.18,77.18;0;0
cellular organisms@Bacteria@Proteobacteria@Deltaproteobacteria@Myxococcales,78.8,0;76.3;75.22
cellular organisms@Bacteria@Proteobacteria@Deltaproteobacteria@Myxococcales@Myxococcaceae,77.68,0;75.1;74.19
cellular organisms@Eukaryota@Metazoa@Platyhelminthes@Trematoda,96.42,0;0;96.42
cellular organisms@Eukaryota@Metazoa@Platyhelminthes@Trematoda@Opisthorchiida,96.42,0;0;96.42
cellular organisms@Bacteria@Proteobacteria@Alphaproteobacteria@Rhodobacterales@Rhodobacteraceae@Thalassobius,71.76,71.76;0;0
cellular organisms@Eukaryota@Metazoa@Platyhelminthes@Trematoda@Opisthorchiida@Opisthorchiidae@Clonorchis@Clonorchis sinensis,96.42,0;0;96.42
