id,value
cellular organisms@Bacteria@Firmicutes@Bacilli@Lactobacillales@Streptococcaceae@Streptococcus,66
cellular organisms@Eukaryota@Basidiomycota,1
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Oscillospiraceae@Oscillibacter,1
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Clostridiaceae@Clostridium@Clostridium homopropionicum,1
cellular organisms@Bacteria,6161
cellular organisms@Bacteria@Bacteroidetes@Bacteroidia@Bacteroidales@Porphyromonadaceae,2
cellular organisms@Bacteria@Proteobacteria@Alphaproteobacteria@Rhodobacterales@Rhodobacteraceae@Pannonibacter@Pannonibacter phragmitetus,1
cellular organisms@Bacteria@Proteobacteria@Gammaproteobacteria@Alteromonadales@Pseudoalteromonadaceae,1
cellular organisms@Bacteria@Proteobacteria@Betaproteobacteria@Burkholderiales@Sutterellaceae@Parasutterella@Parasutterella excrementihominis,1
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Anaerostipes@Anaerostipes hadrus,6
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Blautia@Blautia hydrogenotrophica,2
cellular organisms@Bacteria@Firmicutes@Bacilli,76
cellular organisms@Bacteria@Proteobacteria@Gammaproteobacteria@Enterobacteriales,1
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Blautia@Blautia hansenii,4
cellular organisms@Bacteria@Firmicutes@Negativicutes@Selenomonadales@Selenomonadaceae@Selenomonas,3
cellular organisms@Bacteria@Fusobacteria@Fusobacteriia@Fusobacteriales@Fusobacteriaceae@Fusobacterium,2
cellular organisms@Bacteria@Bacteroidetes@Bacteroidia@Bacteroidales@Bacteroidaceae@Bacteroides@Bacteroides fragilis,1
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Catonella@Catonella morbi,2
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Coprococcus@Coprococcus eutactus,2
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Ruminococcaceae@Subdoligranulum@Subdoligranulum variabile,13
cellular organisms@Bacteria@Firmicutes@Erysipelotrichia,12
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Coprococcus@Coprococcus catus,111
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Ruminococcaceae@Acetivibrio,3
cellular organisms@Bacteria@Actinobacteria@Coriobacteriia@Coriobacteriales@Coriobacteriaceae@Collinsella@Collinsella tanakaei,1
cellular organisms@Bacteria@Actinobacteria@Actinobacteria@Corynebacteriales@Mycobacteriaceae@Mycobacterium,1
cellular organisms@Bacteria@Proteobacteria@Gammaproteobacteria@Aeromonadales,1
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Peptococcaceae,1
cellular organisms@Bacteria@Chloroflexi@Anaerolineae@Anaerolineales@Anaerolineaceae@Levilinea@Levilinea saccharolytica,1
cellular organisms@Bacteria@Proteobacteria@Gammaproteobacteria@Alteromonadales@Pseudoalteromonadaceae@Pseudoalteromonas,1
cellular organisms@Bacteria@Proteobacteria,10
cellular organisms@Bacteria@Firmicutes@Negativicutes@Veillonellales@Veillonellaceae,1
cellular organisms@Bacteria@Proteobacteria@Gammaproteobacteria@Enterobacteriales@Enterobacteriaceae@Escherichia,1
cellular organisms@Bacteria@Actinobacteria@Actinobacteria@Bifidobacteriales@Bifidobacteriaceae@Bifidobacterium,509
cellular organisms@Bacteria@Actinobacteria@Actinobacteria@Bifidobacteriales@Bifidobacteriaceae@Bifidobacterium@Bifidobacterium kashiwanohense,2
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Clostridiaceae@Clostridium@Clostridium butyricum,1
cellular organisms@Eukaryota@Chordata,1
cellular organisms@Bacteria@Proteobacteria@Gammaproteobacteria@Aeromonadales@Succinivibrionaceae@Succinatimonas,1
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Peptostreptococcaceae@Peptostreptococcus@Peptostreptococcus anaerobius,1
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Lachnoclostridium,1
cellular organisms@Bacteria@Proteobacteria@Gammaproteobacteria@Thiotrichales,1
cellular organisms@Bacteria@Firmicutes@Clostridia,4106
cellular organisms@Bacteria@Bacteroidetes@Bacteroidia@Bacteroidales@Bacteroidaceae@Bacteroides@Bacteroides massiliensis,1
cellular organisms@Bacteria@Actinobacteria@Coriobacteriia@Eggerthellales@Eggerthellaceae@Adlercreutzia@Adlercreutzia equolifaciens,5
cellular organisms@Bacteria@Actinobacteria@Coriobacteriia@Coriobacteriales@Coriobacteriaceae@Collinsella,140
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Ruminococcaceae@Ruminococcus@Ruminococcus lactaris,27
cellular organisms@Bacteria@Fusobacteria,2
cellular organisms@Eukaryota,8
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Clostridiaceae@Clostridium@Clostridium sulfidigenes,1
cellular organisms@Bacteria@Proteobacteria@Gammaproteobacteria@Thiotrichales@Francisellaceae,1
cellular organisms@Bacteria@Actinobacteria@Actinobacteria@Bifidobacteriales@Bifidobacteriaceae@Bifidobacterium@Bifidobacterium adolescentis,1
cellular organisms@Eukaryota@Streptophyta,2
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Roseburia@Roseburia intestinalis,27
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Ruminococcaceae@Ruminiclostridium@[Clostridium] leptum,2
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Roseburia@Roseburia hominis,1
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Roseburia,60
cellular organisms@Bacteria@Bacteroidetes@Bacteroidia@Bacteroidales@Bacteroidaceae@Bacteroides,18
cellular organisms@Bacteria@Actinobacteria@Coriobacteriia@Eggerthellales@Eggerthellaceae@Eggerthella,32
cellular organisms@Bacteria@Proteobacteria@Betaproteobacteria@Burkholderiales@Sutterellaceae,1
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Peptostreptococcaceae@Peptostreptococcus,1
cellular organisms@Bacteria@Bacteroidetes@Bacteroidia@Bacteroidales@Bacteroidaceae@Bacteroides@Bacteroides uniformis,3
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Dorea@Dorea formicigenerans,30
cellular organisms@Bacteria@Actinobacteria@Coriobacteriia@Eggerthellales@Eggerthellaceae,49
cellular organisms@Bacteria@Chloroflexi@Anaerolineae,1
cellular organisms@Bacteria@Proteobacteria@Gammaproteobacteria@Enterobacteriales@Enterobacteriaceae@Escherichia@Escherichia coli,1
cellular organisms@Bacteria@Bacteroidetes,36
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Ruminococcaceae@Ruminococcus@Ruminococcus callidus,196
cellular organisms@Bacteria@Actinobacteria@Actinobacteria@Corynebacteriales,2
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Roseburia@Roseburia faecis,1
cellular organisms@Bacteria@Actinobacteria@Actinobacteria@Bifidobacteriales@Bifidobacteriaceae,601
cellular organisms@Bacteria@Fusobacteria@Fusobacteriia,2
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales,4093
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Ruminococcaceae@Faecalibacterium@Faecalibacterium prausnitzii,58
cellular organisms@Bacteria@Proteobacteria@Alphaproteobacteria@Rhodobacterales@Rhodobacteraceae,1
cellular organisms@Bacteria@Actinobacteria@Actinobacteria,629
cellular organisms@Bacteria@Actinobacteria@Actinobacteria@Bifidobacteriales@Bifidobacteriaceae@Bifidobacterium@Bifidobacterium longum,3
cellular organisms@Bacteria@Proteobacteria@Gammaproteobacteria@Enterobacteriales@Enterobacteriaceae,1
cellular organisms@Bacteria@Proteobacteria@Gammaproteobacteria@Thiotrichales@Francisellaceae@Francisella,1
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Ruminococcaceae@Ruminococcus@Ruminococcus champanellensis,1
cellular organisms@Bacteria@Firmicutes@Erysipelotrichia@Erysipelotrichales,12
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Blautia@[Ruminococcus] torques,5
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Eubacteriaceae@Eubacterium@[Eubacterium] eligens,9
cellular organisms@Bacteria@Firmicutes@Bacilli@Lactobacillales@Streptococcaceae@Streptococcus@Streptococcus salivarius,4
cellular organisms@Bacteria@Proteobacteria@Alphaproteobacteria@Rhizobiales@Methylobacteriaceae@Methylobacterium,1
cellular organisms@Bacteria@Proteobacteria@Alphaproteobacteria@Rhodospirillales@Rhodospirillaceae,1
cellular organisms@Bacteria@Bacteroidetes@Bacteroidia@Bacteroidales@Bacteroidaceae,18
cellular organisms@Bacteria@Proteobacteria@Gammaproteobacteria,4
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Ruminococcaceae,598
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Marvinbryantia@Marvinbryantia formatexigens,3
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Peptostreptococcaceae,2
cellular organisms@Bacteria@Proteobacteria@Alphaproteobacteria@Rhodospirillales@Rhodospirillaceae@Thalassospira,1
cellular organisms@Bacteria@Cyanobacteria,1
cellular organisms@Bacteria@Proteobacteria@Gammaproteobacteria@Alteromonadales,1
cellular organisms@Bacteria@Bacteroidetes@Bacteroidia@Bacteroidales@Prevotellaceae@Prevotella@Prevotella amnii,1
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Ruminococcaceae@Acetivibrio@Acetivibrio ethanolgignens,3
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Ruminococcaceae@Ruminococcus@Ruminococcus bromii,1
cellular organisms@Bacteria@Bacteroidetes@Bacteroidia@Bacteroidales,34
cellular organisms@Bacteria@Firmicutes@Erysipelotrichia@Erysipelotrichales@Erysipelotrichaceae@Coprobacillus,6
cellular organisms@Bacteria@Bacteroidetes@Bacteroidia@Bacteroidales@Rikenellaceae,1
cellular organisms@Bacteria@Proteobacteria@Alphaproteobacteria,3
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Eubacteriaceae,146
